date,OT,dgs1mo,dbaa,t5yifr
2019-10-10,7950.779785,1.74,3.94,1.75
2019-10-11,8057.040039,1.76,3.98,1.78
2019-10-15,8148.709961,1.74,3.98,1.79
2019-10-16,8124.180176,1.71,3.97,1.79
2019-10-17,8156.850098,1.74,3.97,1.66
2019-10-18,8089.540039,1.75,3.97,1.68
2019-10-21,8162.990234,1.76,3.99,1.69
2019-10-22,8104.299805,1.75,3.95,1.69
2019-10-23,8119.790039,1.74,3.95,1.7
2019-10-24,8185.799805,1.75,3.94,1.72
2019-10-25,8243.120117,1.73,3.96,1.75
2019-10-28,8325.990234,1.74,4.01,1.75
2019-10-29,8276.849609,1.66,3.99,1.71
2019-10-30,8303.980469,1.61,3.95,1.67
2019-10-31,8292.360352,1.59,3.87,1.64
2019-11-01,8386.400391,1.58,3.89,1.68
2019-11-04,8433.200195,1.58,3.95,1.72
2019-11-05,8434.679688,1.56,4.01,1.78
2019-11-06,8410.629883,1.55,3.95,1.75
2019-11-07,8434.519531,1.57,4.05,1.77
2019-11-08,8475.30957,1.56,4.05,1.79
2019-11-12,8486.089844,1.56,4.02,1.8
2019-11-13,8482.099609,1.56,3.99,1.74
2019-11-14,8479.019531,1.59,3.95,1.7
2019-11-15,8540.830078,1.59,3.97,1.74
2019-11-18,8549.94043,1.59,3.95,1.72
2019-11-19,8570.660156,1.58,3.92,1.73
2019-11-20,8526.730469,1.57,3.89,1.69
2019-11-21,8506.209961,1.57,3.92,1.73
2019-11-22,8519.879883,1.58,3.91,1.71
2019-11-25,8632.490234,1.6,3.89,1.71
2019-11-26,8647.929688,1.63,3.85,1.72
2019-11-27,8705.179688,1.65,3.86,1.72
2019-11-29,8665.469727,1.62,3.86,1.72
2019-12-02,8567.990234,1.6,3.94,1.76
2019-12-03,8520.639648,1.56,3.83,1.75
2019-12-04,8566.669922,1.59,3.88,1.78
2019-12-05,8570.700195,1.52,3.89,1.79
2019-12-06,8656.530273,1.52,3.91,1.79
2019-12-09,8621.830078,1.54,3.88,1.79
2019-12-10,8616.179688,1.53,3.86,1.83
