date,OT,closeshort
2019-10-10,7950.779785,67.0
2019-10-11,8057.040039,72.0
2019-10-15,8148.709961,77.0
2019-10-16,8124.180176,72.0
2019-10-17,8156.850098,72.0
2019-10-18,8089.540039,70.0
2019-10-21,8162.990234,74.0
2019-10-22,8104.299805,65.0
2019-10-23,8119.790039,68.0
2019-10-24,8185.799805,74.0
2019-10-25,8243.120117,81.0
2019-10-28,8325.990234,79.0
2019-10-29,8276.849609,73.0
2019-10-30,8303.980469,75.0
2019-10-31,8292.360352,78.0
2019-11-01,8386.400391,79.0
2019-11-04,8433.200195,76.0
2019-11-05,8434.679688,78.0
2019-11-06,8410.629883,76.0
2019-11-07,8434.519531,77.0
2019-11-08,8475.30957,78.0
2019-11-12,8486.089844,77.0
2019-11-13,8482.099609,80.0
2019-11-14,8479.019531,78.0
2019-11-15,8540.830078,80.0
2019-11-18,8549.94043,80.0
2019-11-19,8570.660156,79.0
2019-11-20,8526.730469,79.0
2019-11-21,8506.209961,75.0
2019-11-22,8519.879883,76.0
2019-11-25,8632.490234,79.0
2019-11-26,8647.929688,79.0
2019-11-27,8705.179688,79.0
2019-11-29,8665.469727,78.0
2019-12-02,8567.990234,74.0
2019-12-03,8520.639648,71.0
2019-12-04,8566.669922,70.0
2019-12-05,8570.700195,71.0
2019-12-06,8656.530273,75.0
2019-12-09,8621.830078,75.0
2019-12-10,8616.179688,74.0
2019-12-11,8654.049805,75.0
2019-12-12,8717.320313,73.0
2019-12-13,8734.879883,77.0
2019-12-16,8814.230469,78.0
2019-12-17,8823.360352,73.0
2019-12-18,8827.740234,77.0
2019-12-19,8887.219727,77.0
2019-12-20,8924.959961,77.0
2019-12-23,8945.650391,75.0
2019-12-24,8952.879883,76.0
2019-12-26,9022.389648,76.0
2019-12-27,9006.620117,77.0
2019-12-30,8945.990234,76.0
2019-12-31,8972.599609,76.0
2020-01-02,9092.19043,76.0
2020-01-03,9020.769531,76.0
2020-01-06,9071.469727,77.0
2020-01-07,9068.580078,75.0
2020-01-08,9129.240234,78.0
2020-01-09,9203.429688,73.0
2020-01-10,9178.860352,73.0
2020-01-13,9273.929688,72.0
2020-01-14,9251.330078,69.0
2020-01-15,9258.700195,70.0
2020-01-16,9357.129883,72.0
2020-01-17,9388.94043,73.0
2020-01-21,9370.80957,72.0
2020-01-22,9383.769531,74.0
2020-01-23,9402.480469,72.0
2020-01-24,9314.910156,73.0
2020-01-27,9139.30957,65.0
2020-01-28,9269.679688,68.0
2020-01-29,9275.160156,66.0
2020-01-30,9298.929688,73.0
2020-01-31,9150.94043,68.0
2020-02-03,9273.400391,72.0
2020-02-04,9467.969727,76.0
2020-02-05,9508.679688,67.0
2020-02-06,9572.150391,71.0
2020-02-07,9520.509766,73.0
2020-02-10,9628.389648,72.0
2020-02-11,9638.94043,69.0
2020-02-12,9725.959961,70.0
2020-02-13,9711.969727,73.0
2020-02-14,9731.179688,72.0
2020-02-18,9732.740234,68.0
2020-02-19,9817.179688,70.0
2020-02-20,9750.969727,65.0
2020-02-21,9576.589844,60.0
2020-02-24,9221.280273,48.0
2020-02-25,8965.610352,44.0
2020-02-26,8980.780273,46.0
2020-02-27,8566.480469,39.0
2020-02-28,8567.370117,44.0
2020-03-02,8952.169922,51.0
2020-03-03,8684.089844,46.0
2020-03-04,9018.089844,56.0
2020-03-05,8738.589844,48.0
2020-03-06,8575.620117,48.0
2020-03-09,7950.680176,44.0
2020-03-10,8344.25,51.0
2020-03-11,7952.049805,44.0
2020-03-12,7201.799805,40.0
2020-03-13,7874.879883,56.0
2020-03-16,6904.589844,36.0
2020-03-17,7334.779785,47.0
2020-03-18,6989.839844,42.0
2020-03-19,7150.580078,40.0
2020-03-20,6879.52002,37.0
2020-03-23,6860.669922,36.0
2020-03-24,7417.859863,51.0
2020-03-25,7384.299805,48.0
2020-03-26,7797.540039,62.0
2020-03-27,7502.379883,57.0
2020-03-30,7774.149902,66.0
2020-03-31,7700.100098,59.0
2020-04-01,7360.580078,49.0
2020-04-02,7487.310059,55.0
2020-04-03,7373.080078,53.0
2020-04-06,7913.240234,61.0
2020-04-07,7887.259766,55.0
2020-04-08,8090.899902,60.0
2020-04-09,8153.580078,61.0
2020-04-13,8192.419922,65.0
2020-04-14,8515.740234,70.0
2020-04-15,8393.179688,68.0
2020-04-16,8532.360352,67.0
2020-04-17,8650.139648,63.0
2020-04-20,8560.730469,64.0
2020-04-21,8263.230469,55.0
2020-04-22,8495.379883,62.0
2020-04-23,8494.75,60.0
2020-04-24,8634.519531,66.0
2020-04-27,8730.160156,60.0
2020-04-28,8607.730469,55.0
2020-04-29,8914.709961,67.0
2020-04-30,8889.549805,62.0
2020-05-01,8604.950195,56.0
2020-05-04,8710.709961,59.0
2020-05-05,8809.120117,64.0
2020-05-06,8854.389648,66.0
2020-05-07,8979.660156,67.0
2020-05-08,9121.320313,67.0
2020-05-11,9192.339844,71.0
2020-05-12,9002.549805,64.0
2020-05-13,8863.169922,58.0
2020-05-14,8943.719727,59.0
2020-05-15,9014.55957,62.0
2020-05-18,9234.830078,64.0
2020-05-19,9185.099609,67.0
2020-05-20,9375.780273,70.0
2020-05-21,9284.879883,61.0
2020-05-22,9324.589844,64.0
2020-05-26,9340.219727,60.0
2020-05-27,9412.360352,58.0
2020-05-28,9368.990234,65.0
2020-05-29,9489.870117,67.0
2020-06-01,9552.049805,72.0
2020-06-02,9608.379883,67.0
2020-06-03,9682.910156,66.0
2020-06-04,9615.80957,65.0
2020-06-05,9814.080078,70.0
2020-06-08,9924.75,63.0
2020-06-09,9953.75,71.0
2020-06-10,10020.34961,72.0
2020-06-11,9492.730469,56.0
2020-06-12,9588.80957,58.0
2020-06-15,9726.019531,56.0
2020-06-16,9895.870117,58.0
2020-06-17,9910.530273,60.0
2020-06-18,9943.049805,62.0
2020-06-19,9946.120117,68.0
2020-06-22,10056.48047,70.0
2020-06-23,10131.37012,68.0
2020-06-24,9909.169922,59.0
2020-06-25,10017.0,58.0
2020-06-26,9757.219727,55.0
2020-06-29,9874.150391,54.0
2020-06-30,10058.76953,66.0
2020-07-01,10154.62988,74.0
